,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22
1995-01-10,2.6482690559090622e-06,1.1620301024082852e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,0.0011494252873565092,-0.9999999999999787,-5.000000000000071,-4.999999999999982,-3.000000000000025,0.0,0.0,0.21,1.93,4.0000000000000036,0.0,-0.06076519129782454,0.0,0.0006976975979269273,0.0007705644384512489,-5.908628961726059e-05
1995-01-11,9.624907585757942e-07,1.1620301024082852e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,0.016073478760045834,-11.000000000000032,-4.999999999999982,-4.999999999999982,-2.000000000000046,0.0,0.0,0.21,2.0,7.000000000000006,0.0,-0.02955271565495199,0.0,-0.004980079681274896,0.00044914982354815614,-2.3635912405506332e-05
1995-01-12,6.161607919374431e-07,1.1620301024082852e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,0.001129943502824915,-0.9999999999999787,0.0,0.9999999999999787,3.000000000000025,0.0,0.0,0.24,2.02,2.0000000000000018,3.0,0.05596707818930047,0.0,-0.011011011011011096,0.007888660851718798,-3.5454706612259024e-05
1995-01-13,1.630198276204682e-05,1.1620301024082852e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,-0.011286681715575564,-4.999999999999982,-16.000000000000014,-10.999999999999943,-8.000000000000007,0.0,0.0,0.3,1.97,-5.000000000000004,6.0,-0.13484021823850356,0.0,-0.00030364372469637857,-0.002863506204263455,-1.1818654564343944e-05
1995-01-16,1.920375499541905e-05,1.1620301024082852e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,0.021118721461187207,2.5000000000000355,2.000000000000046,0.49999999999998934,-0.9999999999999787,0.0,0.0,0.28,1.8900000000000001,-7.999999999999985,-1.9999999999999962,0.003603603603603789,0.0,0.001164321150146863,0.00031908104658584513,-2.363758849333042e-05
1995-01-17,1.962369408107817e-05,1.1620301024082852e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,0.032420346562325175,2.4999999999999467,1.9999999999999574,0.49999999999998934,-0.9999999999999787,0.0,0.0,0.26,1.81,-8.000000000000007,-2.0000000000000018,0.058348294434470205,0.0,0.0011629670829753636,0.0003189792663478297,-2.363814724193336e-05
1995-01-18,2.0957557108005876e-05,1.2341925750616376e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,0.013535462912831697,8.999999999999986,3.000000000000025,0.9999999999999787,0.0,0.0,0.0,0.23,1.84,3.0000000000000027,-3.0,-0.018659881255301047,0.0,0.005555555555555536,0.001721938775510079,-2.3638706017181654e-05
1995-01-19,3.801223570251041e-05,1.8009891788531008e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,-0.0010683760683760646,0.0,3.000000000000025,3.000000000000025,4.0000000000000036,0.0,0.0,0.25,1.87,3.0000000000000027,1.9999999999999991,0.025064822817631782,0.0,-0.001205424409844169,0.002737632902527487,-3.545889722822437e-05
1995-01-20,2.774670697492362e-05,2.1743811717185355e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,-0.012834224598930355,4.0000000000000036,5.999999999999961,8.000000000000007,8.000000000000007,0.0,0.0,0.32,1.91,3.9999999999999813,7.000000000000001,0.024451939291737057,0.0,-0.0003017198028764101,0.008063492063492106,-2.3640103070765583e-05
1995-01-23,1.3048745207974718e-05,2.1866948720747823e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,-0.01625135427952329,0.9999999999999787,0.0,0.9999999999999787,0.9999999999999787,0.0,0.0,0.33,1.86,-4.999999999999982,1.0000000000000009,0.05267489711934137,0.0,0.0035211267605632646,0.004912766895509346,-3.546099290796523e-05
1995-01-24,1.1434154230167043e-05,2.1880358412986943e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,0.020374449339207068,4.999999999999982,2.000000000000046,3.000000000000025,1.9999999999999574,0.0,0.0,0.29,1.88,1.9999999999999796,-4.0000000000000036,-0.0664581704456606,0.0,-0.0011027568922306052,0.0003133813851459166,-3.546225043438156e-05
1995-01-25,1.700423406388696e-05,2.233137645147588e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,0.015650296815973963,-4.0000000000000036,-6.00000000000005,-6.00000000000005,-4.999999999999982,0.0,0.0,0.3,1.86,-1.9999999999999796,1.0000000000000009,-0.04020100502512547,0.0,-0.0004014452027298887,-0.0017543859649123972,-4.7284677400338815e-05
1995-01-26,9.979276208338826e-06,2.214662794601454e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,-0.031349628055260315,0.0,-5.999999999999961,-4.0000000000000036,-3.000000000000025,0.0,0.0,0.37,1.82,-4.0000000000000036,7.000000000000001,-0.01832460732984298,0.0,-0.002911646586345351,-0.001506402209389912,-3.5465185009964095e-05
1995-01-27,2.678348404256076e-06,1.5864401134220834e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,-0.015359297860669252,-0.9999999999999787,-10.000000000000053,-9.999999999999964,-9.999999999999964,0.0,0.0,0.37,1.74,-8.000000000000007,0.0,0.0,0.0,0.0004027791763165922,-0.0014458134272063994,-3.546644283414224e-05
1995-01-30,1.0968902104767669e-05,1.2659168430975122e-05,1.3040876672659233e-05,0.6,0.0,3.13,0.0,0.013927576601671321,-2.999999999999936,-4.999999999999982,-0.9999999999999787,0.9999999999999787,0.0,0.0,0.42,1.69,-5.000000000000004,4.999999999999999,0.08977777777777773,0.0,-0.009562154001006462,0.003147623544224043,0.0
